client_no,base_window_size,slowstart_mult,slowstart_div,speed,dataSent,dataReceived,time,segsSent,segsReceived,segsDropped,segsDropRate
1,2,1,1,4776,5387990,5242880,8770,3661,3577,84,0.02
1,2,1,2,4656,5375212,5242880,8999,3653,3577,76,0.02
1,2,1,3,4704,5391404,5242880,8902,3664,3577,87,0.02
1,2,1,4,4696,5346774,5242880,8919,3633,3577,56,0.02
1,2,1,5,4528,5414486,5242880,9249,3679,3577,102,0.03
1,2,1,6,4656,5386988,5242880,8999,3661,3577,84,0.02
1,2,1,7,4664,5393878,5242880,8980,3665,3577,88,0.02
1,2,1,8,4432,5444396,5242880,9454,3700,3577,123,0.03
1,2,1,9,4624,5387990,5242880,9063,3661,3577,84,0.02
1,2,1,10,4536,5424790,5242880,9232,3686,3577,109,0.03
1,2,1,11,4632,5393878,5242880,9041,3665,3577,88,0.02
1,2,1,12,4520,5443926,5242880,9270,3699,3577,122,0.03
1,2,1,13,4720,5346774,5242880,8876,3633,3577,56,0.02
1,2,1,14,4608,5417900,5242880,9096,3682,3577,105,0.03
1,2,1,15,4656,5402710,5242880,9006,3671,3577,94,0.03
1,2,1,16,4672,5367382,5242880,8975,3647,3577,70,0.02
1,2,1,17,4632,5389932,5242880,9046,3663,3577,86,0.02
1,2,1,18,4680,5413484,5242880,8960,3679,3577,102,0.03
1,2,1,19,4464,5452758,5242880,9386,3705,3577,128,0.03
1,2,1,20,4616,5417900,5242880,9085,3682,3577,105,0.03
1,2,1,21,4600,5406124,5242880,9105,3674,3577,97,0.03
1,2,1,22,4696,5367852,5242880,8921,3648,3577,71,0.02
1,2,1,23,4552,5373270,5242880,9206,3651,3577,74,0.02
1,2,1,24,4728,5382102,5242880,8861,3657,3577,80,0.02
1,2,1,25,4704,5367852,5242880,8911,3648,3577,71,0.02
1,2,1,26,4552,5412012,5242880,9202,3678,3577,101,0.03
1,2,1,27,4672,5367382,5242880,8973,3647,3577,70,0.02
1,2,1,28,4408,5459116,5242880,9502,3710,3577,133,0.04
1,2,1,29,4592,5364438,5242880,9129,3645,3577,68,0.02
1,2,1,30,4624,5411542,5242880,9069,3677,3577,100,0.03
1,2,1,31,4592,5414486,5242880,9130,3679,3577,102,0.03
1,2,1,32,4584,5395350,5242880,9140,3666,3577,89,0.02
1,2,1,33,4544,5414486,5242880,9229,3679,3577,102,0.03
1,2,1,34,4552,5423318,5242880,9214,3685,3577,108,0.03
1,2,1,35,4584,5443926,5242880,9135,3699,3577,122,0.03
1,2,1,36,4672,5383574,5242880,8975,3658,3577,81,0.02
1,2,1,37,4600,5395350,5242880,9105,3666,3577,89,0.02
1,2,1,38,4472,5429676,5242880,9373,3690,3577,113,0.03
1,2,1,39,4512,5420844,5242880,9287,3684,3577,107,0.03
1,2,1,40,4512,5423318,5242880,9294,3685,3577,108,0.03
1,2,1,41,4656,5382572,5242880,8995,3658,3577,81,0.02
1,2,1,42,4560,5400236,5242880,9186,3670,3577,93,0.03
1,2,1,43,4544,5386518,5242880,9229,3660,3577,83,0.02
1,2,1,44,4592,5413014,5242880,9132,3678,3577,101,0.03
1,2,1,45,4704,5379628,5242880,8906,3656,3577,79,0.02
1,2,1,46,4648,5399766,5242880,9023,3669,3577,92,0.03
1,2,1,47,4480,5426732,5242880,9346,3688,3577,111,0.03
1,2,1,48,4504,5405654,5242880,9310,3673,3577,96,0.03
1,2,1,49,4544,5400236,5242880,9229,3670,3577,93,0.03
