client_no,window_size,speed,dataSent,dataReceived,time,segsSent,segsReceived,segsDropped,segsDropRate,maxTimeout,minTimeout,maxWindow,minWindow
2,2,1824,5974316,5242880,22903,4060,3577,483,0.12,35211,11187,2,2
2,3,2568,6222614,5242880,16291,4228,3577,651,0.15,34262,11214,3,3
2,4,3136,6619052,5242880,13368,4498,3577,921,0.2,35707,10832,4,4
2,5,3688,6928642,5242880,11353,4709,3577,1132,0.24,35242,10751,5,5
2,6,2264,8838,8796,31,7,6,1,0.14,20000,20000,6,6
2,7,4544,7563074,5242880,9227,5140,3577,1563,0.3,35183,10590,7,7
2,8,4848,7973762,5242880,8650,5419,3577,1842,0.34,35213,10829,8,8
2,9,5240,8242136,5242880,8002,5602,3577,2025,0.36,35347,10286,9,9
2,10,5040,9256344,5242880,8309,6291,3577,2714,0.43,34249,10600,10,10
2,11,4824,10254892,5242880,8689,6968,3577,3391,0.49,34485,10516,11,11
2,12,4728,11312728,5242880,8864,7688,3577,4111,0.53,35248,10218,12,12
2,13,19056,19136,19058,8,13,13,0,0.0,20000,20000,13,13
2,14,4680,12406424,5242880,8956,8431,3577,4854,0.58,34396,10733,14,14
2,15,4568,13393072,5242880,9173,9104,3577,5527,0.61,35971,10258,15,15
2,16,5072,13130178,5242880,8267,8922,3577,5345,0.6,36419,10310,16,16
2,17,4776,14428482,5242880,8778,9804,3577,6227,0.64,34951,10238,17,17
2,18,4888,14460334,5242880,8574,9827,3577,6250,0.64,34635,10426,18,18
2,19,4784,15419546,5242880,8755,10480,3577,6903,0.66,35699,10408,19,19
2,20,4768,15853786,5242880,8791,10775,3577,7198,0.67,44408,10636,20,20
2,21,4872,16285144,5242880,8601,11066,3577,7489,0.68,35547,10517,21,21
2,22,4904,17073134,5242880,8552,11602,3577,8025,0.69,34026,10239,22,22
2,23,4872,17722756,5242880,8601,12044,3577,8467,0.7,38681,10424,23,23
2,24,5128,16904386,5242880,8173,11486,3577,7909,0.69,44290,10059,24,24
2,25,4856,18670662,5242880,8629,12690,3577,9113,0.72,36992,10313,25,25
2,26,5096,18741442,5242880,8227,12734,3577,9157,0.72,35195,10362,26,26
2,27,4696,19855622,5242880,8922,13495,3577,9918,0.73,50176,10339,27,27
2,28,4840,19676038,5242880,8663,13373,3577,9796,0.73,40855,10132,28,28
2,29,5000,21148632,5242880,8376,14370,3577,10793,0.75,35235,10135,29,29
2,30,5072,21232536,5242880,8262,14427,3577,10850,0.75,36134,10431,30,30
2,31,4672,22704944,5242880,8964,15430,3577,11853,0.77,34605,10558,31,31
2,32,4816,22908550,5242880,8701,15569,3577,11992,0.77,36668,10625,32,32
2,33,4888,23449714,5242880,8569,15938,3577,12361,0.78,35672,10360,33,33
2,34,4824,23944306,5242880,8691,16274,3577,12697,0.78,39088,10682,34,34
2,35,4744,24854596,5242880,8838,16889,3577,13312,0.79,34201,10283,35,35
2,36,4848,24770568,5242880,8650,16836,3577,13259,0.79,39182,10550,36,36
2,37,4984,24258374,5242880,8405,16486,3577,12909,0.78,38023,10863,37,37
2,38,4600,26617458,5242880,9110,18090,3577,14513,0.8,38001,10742,38,38
2,39,4776,26504176,5242880,8779,18011,3577,14434,0.8,34605,10645,39,39
2,40,4856,27032500,5242880,8633,18374,3577,14797,0.81,33921,10404,40,40
2,41,4856,27683248,5242880,8635,18812,3577,15235,0.81,34726,10679,41,41
2,42,4744,27380486,5242880,8837,18607,3577,15030,0.81,39942,10388,42,42
2,43,5008,27984822,5242880,8372,19023,3577,15446,0.81,34858,10526,43,43
2,44,4872,28869680,5242880,8600,19618,3577,16041,0.82,37614,10658,44,44
2,45,5312,28143514,5242880,7894,19124,3577,15547,0.81,35560,10401,45,45
2,46,4816,30433352,5242880,8704,20683,3577,17106,0.83,39062,10390,46,46
2,47,5056,29327348,5242880,8288,19933,3577,16356,0.82,43764,10664,47,47
2,48,5152,30194702,5242880,8136,20527,3577,16950,0.83,33714,10558,48,48
2,49,4984,30474630,5242880,8408,20709,3577,17132,0.83,38027,10622,49,49
2,50,4888,31602058,5242880,8580,21479,3577,17902,0.83,37262,10662,50,50
2,51,4888,32126276,5242880,8580,21829,3577,18252,0.84,39481,10514,51,51
2,52,5024,32767350,5242880,8337,22272,3577,18695,0.84,34577,10396,52,52
2,53,4944,34064838,5242880,8473,23148,3577,19571,0.85,35720,10495,53,53
2,54,4896,34333026,5242880,8562,23337,3577,19760,0.85,41507,10441,54,54
2,55,4824,34921764,5242880,8694,23739,3577,20162,0.85,34656,10400,55,55
2,56,4944,35099406,5242880,8483,23859,3577,20282,0.85,43976,10466,56,56
2,57,5264,34350876,5242880,7956,23343,3577,19766,0.85,35730,10670,57,57
2,58,4728,38119072,5242880,8861,25907,3577,22330,0.86,35612,10341,58,58
2,59,4928,36288250,5242880,8511,24668,3577,21091,0.85,36188,10416,59,59
2,60,4928,36691826,5242880,8505,24934,3577,21357,0.86,41003,10662,60,60
2,61,22352,89798,89426,32,62,61,1,0.02,20000,20000,61,61
2,62,4840,39779240,5242880,8661,27043,3577,23466,0.87,34384,10594,62,62
2,63,5256,36941534,5242880,7968,25105,3577,21528,0.86,34762,10693,63,63
2,64,4952,39861388,5242880,8466,27092,3577,23515,0.87,35549,10654,64,64
